PAD_FIELDS=TYPE|COMPONENT|PIN|EXPANSION|EXPANSION_MODE|TOP_SOLDER|BOTTOM_SOLDER|PASTE_ENABLED|TOP_PASTE_ENABLED|BOTTOM_PASTE_ENABLED
VIA|306|0|2|1
VIA|307|0|2|1
VIA|308|0|2|1
VIA|309|0|2|1
VIA|310|0|2|1
VIA|311|0|2|1
VIA|312|0|2|1
VIA|313|0|2|1
VIA|314|0|2|1
VIA|315|0|2|1
VIA|316|0|2|1
VIA|317|0|2|1
VIA|318|0|2|1
VIA|319|0|2|1
VIA|320|0|2|1
VIA|321|0|2|1
VIA|322|0|2|1
VIA|323|0|2|1
VIA|324|0|2|1
VIA|325|0|2|1
VIA|326|0|2|1
VIA|327|0|2|1
VIA|328|0|2|1
VIA|329|0|2|1
VIA|330|0|2|1
VIA|331|0|2|1
VIA|332|0|2|1
VIA|333|0|2|1
VIA|334|0|2|1
VIA|335|0|2|1
VIA|336|0|2|1
VIA|337|0|2|1
VIA|338|0|2|1
VIA|339|0|2|1
VIA|340|0|2|1
VIA|341|0|2|1
VIA|342|0|2|1
VIA|343|0|2|1
VIA|344|0|2|1
VIA|345|0|2|1
VIA|346|0|2|1
COMPLETE
