x_mm,y_mm,start_layer,stop_layer,drill_mm,land_mm,net,type
6.478549,49.280003,L6,L5,.100,.250,GND,RC_PERIMETER
6.878549,49.280003,L6,L5,.100,.250,GND,RC_PERIMETER
7.278548,49.280003,L6,L5,.100,.250,GND,RC_PERIMETER
7.678547,49.280003,L6,L5,.100,.250,GND,RC_PERIMETER
7.783764,49.665918,L6,L5,.100,.250,GND,RC_PERIMETER
7.783764,50.065917,L6,L5,.100,.250,GND,RC_PERIMETER
7.783764,50.465916,L6,L5,.100,.250,GND,RC_PERIMETER
8.918407,51.157233,L6,L5,.100,.250,GND,RC_PERIMETER
9.204952,50.878141,L6,L5,.100,.250,GND,RC_PERIMETER
9.216238,50.478299,L6,L5,.100,.250,GND,RC_PERIMETER
9.216238,50.078300,L6,L5,.100,.250,GND,RC_PERIMETER
9.216238,49.678300,L6,L5,.100,.250,GND,RC_PERIMETER
9.216238,49.278301,L6,L5,.100,.250,GND,RC_PERIMETER
9.427982,48.938945,L6,L5,.100,.250,GND,RC_PERIMETER
9.430001,48.538950,L6,L5,.100,.250,GND,RC_PERIMETER
9.430001,48.138951,L6,L5,.100,.250,GND,RC_PERIMETER
9.394876,47.740496,L6,L5,.100,.250,GND,RC_PERIMETER
9.061018,47.520179,L6,L5,.100,.250,GND,RC_PERIMETER
8.063019,47.520001,L6,L5,.100,.250,GND,RC_PERIMETER
7.663020,47.520001,L6,L5,.100,.250,GND,RC_PERIMETER
7.263021,47.520001,L6,L5,.100,.250,GND,RC_PERIMETER
6.863022,47.520001,L6,L5,.100,.250,GND,RC_PERIMETER
6.463022,47.520001,L6,L5,.100,.250,GND,RC_PERIMETER
6.065868,47.567626,L6,L5,.100,.250,GND,RC_PERIMETER
5.870001,47.916391,L6,L5,.100,.250,GND,RC_PERIMETER
5.870001,48.316391,L6,L5,.100,.250,GND,RC_PERIMETER
4.919998,30.120003,L6,L5,.100,.250,GND,RC_PERIMETER
4.579892,30.330546,L6,L5,.100,.250,GND,RC_PERIMETER
4.539999,30.728552,L6,L5,.100,.250,GND,RC_PERIMETER
4.539999,31.128551,L6,L5,.100,.250,GND,RC_PERIMETER
4.541081,31.528550,L6,L5,.100,.250,GND,RC_PERIMETER
4.776579,31.851877,L6,L5,.100,.250,GND,RC_PERIMETER
5.175588,31.880005,L6,L5,.100,.250,GND,RC_PERIMETER
5.575587,31.880005,L6,L5,.100,.250,GND,RC_PERIMETER
5.975586,31.880005,L6,L5,.100,.250,GND,RC_PERIMETER
6.375585,31.880005,L6,L5,.100,.250,GND,RC_PERIMETER
7.665585,31.880002,L6,L5,.100,.250,GND,RC_PERIMETER
8.031282,31.717932,L6,L5,.100,.250,GND,RC_PERIMETER
8.099999,31.323879,L6,L5,.100,.250,GND,RC_PERIMETER
8.099999,30.923880,L6,L5,.100,.250,GND,RC_PERIMETER
8.099999,30.523881,L6,L5,.100,.250,GND,RC_PERIMETER
7.910843,30.171433,L6,L5,.100,.250,GND,RC_PERIMETER
7.886235,29.772191,L6,L5,.100,.250,GND,RC_PERIMETER
7.886235,29.372192,L6,L5,.100,.250,GND,RC_PERIMETER
7.886235,28.972192,L6,L5,.100,.250,GND,RC_PERIMETER
7.883926,28.572198,L6,L5,.100,.250,GND,RC_PERIMETER
7.637445,28.257165,L6,L5,.100,.250,GND,RC_PERIMETER
6.733337,28.247284,L6,L5,.100,.250,GND,RC_PERIMETER
6.460955,28.540212,L6,L5,.100,.250,GND,RC_PERIMETER
6.453762,28.940148,L6,L5,.100,.250,GND,RC_PERIMETER
6.453762,29.340147,L6,L5,.100,.250,GND,RC_PERIMETER
6.453762,29.740146,L6,L5,.100,.250,GND,RC_PERIMETER
6.328423,30.120001,L6,L5,.100,.250,GND,RC_PERIMETER
5.928423,30.120003,L6,L5,.100,.250,GND,RC_PERIMETER
5.528424,30.120003,L6,L5,.100,.250,GND,RC_PERIMETER
1.070000,41.250001,L6,L5,.100,.250,GND,RC_PERIMETER
1.280544,41.590107,L6,L5,.100,.250,GND,RC_PERIMETER
1.678549,41.630001,L6,L5,.100,.250,GND,RC_PERIMETER
2.078548,41.630001,L6,L5,.100,.250,GND,RC_PERIMETER
2.478547,41.630001,L6,L5,.100,.250,GND,RC_PERIMETER
2.878546,41.630001,L6,L5,.100,.250,GND,RC_PERIMETER
3.278546,41.630001,L6,L5,.100,.250,GND,RC_PERIMETER
4.630001,41.014343,L6,L5,.100,.250,GND,RC_PERIMETER
4.630001,40.614343,L6,L5,.100,.250,GND,RC_PERIMETER
4.628307,40.214347,L6,L5,.100,.250,GND,RC_PERIMETER
4.416237,39.875191,L6,L5,.100,.250,GND,RC_PERIMETER
4.416237,39.475192,L6,L5,.100,.250,GND,RC_PERIMETER
4.416237,39.075192,L6,L5,.100,.250,GND,RC_PERIMETER
4.416237,38.675193,L6,L5,.100,.250,GND,RC_PERIMETER
4.405775,38.275331,L6,L5,.100,.250,GND,RC_PERIMETER
4.121864,37.993561,L6,L5,.100,.250,GND,RC_PERIMETER
3.087182,38.103211,L6,L5,.100,.250,GND,RC_PERIMETER
2.983763,38.489611,L6,L5,.100,.250,GND,RC_PERIMETER
2.983763,38.889610,L6,L5,.100,.250,GND,RC_PERIMETER
2.983763,39.289609,L6,L5,.100,.250,GND,RC_PERIMETER
2.983763,39.689608,L6,L5,.100,.250,GND,RC_PERIMETER
2.626749,39.869999,L6,L5,.100,.250,GND,RC_PERIMETER
2.226749,39.869999,L6,L5,.100,.250,GND,RC_PERIMETER
1.826750,39.869999,L6,L5,.100,.250,GND,RC_PERIMETER
1.426751,39.870741,L6,L5,.100,.250,GND,RC_PERIMETER
1.100163,40.101695,L6,L5,.100,.250,GND,RC_PERIMETER
1.070000,40.500557,L6,L5,.100,.250,GND,RC_PERIMETER
11.765001,38.823999,L6,L5,.100,.250,GND,RF_FENCE
11.765001,38.424000,L6,L5,.100,.250,GND,RF_FENCE
11.765001,38.024001,L6,L5,.100,.250,GND,RF_FENCE
11.765001,37.624001,L6,L5,.100,.250,GND,RF_FENCE
11.765001,37.224002,L6,L5,.100,.250,GND,RF_FENCE
11.765001,36.824003,L6,L5,.100,.250,GND,RF_FENCE
11.765001,36.424004,L6,L5,.100,.250,GND,RF_FENCE
11.765001,36.024005,L6,L5,.100,.250,GND,RF_FENCE
11.765001,35.624005,L6,L5,.100,.250,GND,RF_FENCE
11.765001,35.224006,L6,L5,.100,.250,GND,RF_FENCE
11.765001,34.824007,L6,L5,.100,.250,GND,RF_FENCE
11.765001,34.424008,L6,L5,.100,.250,GND,RF_FENCE
11.765001,34.024009,L6,L5,.100,.250,GND,RF_FENCE
11.765001,33.624009,L6,L5,.100,.250,GND,RF_FENCE
11.725839,33.225930,L6,L5,.100,.250,GND,RF_FENCE
11.650000,32.833186,L6,L5,.100,.250,GND,RF_FENCE
11.650000,32.433186,L6,L5,.100,.250,GND,RF_FENCE
12.635001,38.882000,L6,L5,.100,.250,GND,RF_FENCE
12.635001,38.482001,L6,L5,.100,.250,GND,RF_FENCE
12.635001,38.082002,L6,L5,.100,.250,GND,RF_FENCE
12.635001,37.682002,L6,L5,.100,.250,GND,RF_FENCE
12.635001,37.282003,L6,L5,.100,.250,GND,RF_FENCE
12.635001,36.882004,L6,L5,.100,.250,GND,RF_FENCE
12.635001,36.482005,L6,L5,.100,.250,GND,RF_FENCE
12.635001,36.082006,L6,L5,.100,.250,GND,RF_FENCE
12.635001,35.682006,L6,L5,.100,.250,GND,RF_FENCE
12.635001,35.282007,L6,L5,.100,.250,GND,RF_FENCE
12.635001,34.882008,L6,L5,.100,.250,GND,RF_FENCE
12.635001,34.482009,L6,L5,.100,.250,GND,RF_FENCE
12.635001,34.082010,L6,L5,.100,.250,GND,RF_FENCE
12.635001,33.682010,L6,L5,.100,.250,GND,RF_FENCE
12.635001,33.282011,L6,L5,.100,.250,GND,RF_FENCE
12.559261,32.889246,L6,L5,.100,.250,GND,RF_FENCE
12.520003,32.491177,L6,L5,.100,.250,GND,RF_FENCE
13.426001,41.714999,L6,L5,.100,.250,GND,RF_FENCE
13.826000,41.714999,L6,L5,.100,.250,GND,RF_FENCE
14.225999,41.714999,L6,L5,.100,.250,GND,RF_FENCE
13.426001,42.585000,L6,L5,.100,.250,GND,RF_FENCE
13.826000,42.585000,L6,L5,.100,.250,GND,RF_FENCE
14.225999,42.585000,L6,L5,.100,.250,GND,RF_FENCE
14.625998,42.585000,L6,L5,.100,.250,GND,RF_FENCE
15.025997,42.585000,L6,L5,.100,.250,GND,RF_FENCE
15.425997,42.585000,L6,L5,.100,.250,GND,RF_FENCE
11.435004,46.175112,L6,L5,.100,.250,GND,RF_FENCE
11.435001,46.575111,L6,L5,.100,.250,GND,RF_FENCE
11.435001,46.975111,L6,L5,.100,.250,GND,RF_FENCE
10.873890,45.410928,L6,L5,.100,.250,GND,RF_FENCE
10.628038,45.726454,L6,L5,.100,.250,GND,RF_FENCE
