x_mm,y_mm,start_layer,stop_layer,drill_mm,land_mm,net,type
4.416237,39.875191,L6,L5,.100,.250,GND,RC_PERIMETER
4.416237,39.475192,L6,L5,.100,.250,GND,RC_PERIMETER
4.416237,39.075192,L6,L5,.100,.250,GND,RC_PERIMETER
4.416237,38.675193,L6,L5,.100,.250,GND,RC_PERIMETER
4.405775,38.275331,L6,L5,.100,.250,GND,RC_PERIMETER
4.121864,37.993561,L6,L5,.100,.250,GND,RC_PERIMETER
3.087182,38.103211,L6,L5,.100,.250,GND,RC_PERIMETER
2.983763,38.489611,L6,L5,.100,.250,GND,RC_PERIMETER
2.983763,38.889610,L6,L5,.100,.250,GND,RC_PERIMETER
2.983763,39.289609,L6,L5,.100,.250,GND,RC_PERIMETER
2.983763,39.689608,L6,L5,.100,.250,GND,RC_PERIMETER
2.626749,39.869999,L6,L5,.100,.250,GND,RC_PERIMETER
2.226749,39.869999,L6,L5,.100,.250,GND,RC_PERIMETER
1.826750,39.869999,L6,L5,.100,.250,GND,RC_PERIMETER
1.426751,39.870741,L6,L5,.100,.250,GND,RC_PERIMETER
1.100163,40.101695,L6,L5,.100,.250,GND,RC_PERIMETER
1.070000,40.500557,L6,L5,.100,.250,GND,RC_PERIMETER
13.531444,32.183741,L6,L5,.100,.250,GND,RF_FENCE
13.248602,32.466582,L6,L5,.100,.250,GND,RF_FENCE
12.965760,32.749424,L6,L5,.100,.250,GND,RF_FENCE
12.682918,33.032266,L6,L5,.100,.250,GND,RF_FENCE
12.635004,33.429384,L6,L5,.100,.250,GND,RF_FENCE
12.635001,33.829384,L6,L5,.100,.250,GND,RF_FENCE
12.635001,34.229383,L6,L5,.100,.250,GND,RF_FENCE
12.635001,34.629382,L6,L5,.100,.250,GND,RF_FENCE
12.635001,35.029381,L6,L5,.100,.250,GND,RF_FENCE
12.635001,35.429381,L6,L5,.100,.250,GND,RF_FENCE
12.635001,35.829380,L6,L5,.100,.250,GND,RF_FENCE
12.635001,36.229379,L6,L5,.100,.250,GND,RF_FENCE
12.635001,36.629378,L6,L5,.100,.250,GND,RF_FENCE
12.635001,37.029377,L6,L5,.100,.250,GND,RF_FENCE
12.635001,37.429376,L6,L5,.100,.250,GND,RF_FENCE
12.635001,37.829376,L6,L5,.100,.250,GND,RF_FENCE
12.635001,38.229375,L6,L5,.100,.250,GND,RF_FENCE
12.635001,38.629374,L6,L5,.100,.250,GND,RF_FENCE
12.420503,32.064315,L6,L5,.100,.250,GND,RF_FENCE
12.137662,32.347157,L6,L5,.100,.250,GND,RF_FENCE
11.870499,32.644855,L6,L5,.100,.250,GND,RF_FENCE
11.765001,33.030691,L6,L5,.100,.250,GND,RF_FENCE
11.765001,33.430690,L6,L5,.100,.250,GND,RF_FENCE
11.765001,33.830689,L6,L5,.100,.250,GND,RF_FENCE
11.765001,34.230688,L6,L5,.100,.250,GND,RF_FENCE
11.765001,34.630688,L6,L5,.100,.250,GND,RF_FENCE
11.765001,35.030687,L6,L5,.100,.250,GND,RF_FENCE
11.765001,35.430686,L6,L5,.100,.250,GND,RF_FENCE
11.765001,35.830685,L6,L5,.100,.250,GND,RF_FENCE
11.765001,36.230684,L6,L5,.100,.250,GND,RF_FENCE
11.765001,36.630684,L6,L5,.100,.250,GND,RF_FENCE
11.765001,37.030683,L6,L5,.100,.250,GND,RF_FENCE
11.765001,37.430682,L6,L5,.100,.250,GND,RF_FENCE
11.765001,37.830681,L6,L5,.100,.250,GND,RF_FENCE
11.765001,38.230680,L6,L5,.100,.250,GND,RF_FENCE
11.765001,38.630680,L6,L5,.100,.250,GND,RF_FENCE
